Seq,COPx,COPy
500,0.011215,0.04421
501,0.01087,0.043809
502,0.010586,0.043526
503,0.010331,0.043381
504,0.010105,0.043316
505,0.009969,0.043312
506,0.009916,0.043329
507,0.009938,0.043354
508,0.01004,0.04337
509,0.010266,0.043186
510,0.010486,0.042808
511,0.010642,0.042256
512,0.010776,0.041688
513,0.010827,0.041186
514,0.010933,0.040648
515,0.011056,0.040122
516,0.011193,0.039584
517,0.011305,0.039122
518,0.011373,0.038752
519,0.011364,0.038471
520,0.011287,0.038352
521,0.011157,0.038355
522,0.011059,0.038398
523,0.010947,0.038501
524,0.010824,0.038678
525,0.010732,0.038989
526,0.010608,0.039399
527,0.010381,0.039925
528,0.010189,0.040592
529,0.009929,0.041315
530,0.009701,0.042061
531,0.00945,0.042883
532,0.009246,0.043841
533,0.009061,0.045125
534,0.00892,0.046619
535,0.008786,0.048308
536,0.008771,0.050023
537,0.008896,0.051568
538,0.009036,0.052992
539,0.009154,0.054285
540,0.009181,0.055732
541,0.009193,0.057286
542,0.009204,0.058782
543,0.009173,0.06025
544,0.009176,0.061673
545,0.009069,0.063141
546,0.008858,0.064717
547,0.008542,0.066273
548,0.00814,0.067681
549,0.007691,0.069001
550,0.007256,0.070033
551,0.006873,0.070737
552,0.006506,0.071016
553,0.006204,0.070983
554,0.005963,0.070776
555,0.005716,0.070591
556,0.005494,0.070463
557,0.005273,0.070379
558,0.005129,0.070368
559,0.005074,0.07041
560,0.004994,0.070488
561,0.004922,0.070831
562,0.00488,0.07123
563,0.004811,0.07154
564,0.004768,0.071946
565,0.004767,0.072361
566,0.004742,0.07269
567,0.004738,0.072887
568,0.004778,0.072901
569,0.004888,0.072689
570,0.005083,0.072252
571,0.005293,0.071773
572,0.005427,0.071425
573,0.005614,0.071139
574,0.005752,0.070924
575,0.005871,0.070709
576,0.005964,0.07048
577,0.005984,0.070125
578,0.006014,0.069629
579,0.005994,0.069024
580,0.006032,0.068574
581,0.006063,0.068328
582,0.006042,0.068195
583,0.005942,0.068163
584,0.005765,0.068223
585,0.005602,0.068244
586,0.005379,0.068193
587,0.005125,0.068012
588,0.004928,0.06782
589,0.004771,0.067692
590,0.004633,0.067831
591,0.004518,0.068163
592,0.004337,0.068669
593,0.004119,0.069328
594,0.003926,0.069979
595,0.003751,0.070438
596,0.003659,0.07078
597,0.003574,0.071169
598,0.00356,0.071495
599,0.003511,0.071785
600,0.003457,0.072077
601,0.003422,0.072307
602,0.00348,0.072305
603,0.003667,0.072009
604,0.003892,0.071486
605,0.00405,0.070663
606,0.004234,0.0695
607,0.00449,0.068123
608,0.004743,0.066654
609,0.004873,0.065309
610,0.005046,0.064152
611,0.005153,0.063114
612,0.005272,0.06199
613,0.005408,0.060913
614,0.005549,0.059948
615,0.005646,0.059346
616,0.005778,0.058986
617,0.005983,0.058726
618,0.00617,0.058615
619,0.006238,0.05867
620,0.006332,0.058823
621,0.006524,0.058933
622,0.00667,0.058994
623,0.006735,0.059074
624,0.006892,0.059175
625,0.006943,0.059218
626,0.007007,0.059232
627,0.007039,0.059326
628,0.007066,0.059506
629,0.007117,0.059714
630,0.007208,0.059922
631,0.007305,0.060043
632,0.00735,0.060109
633,0.007343,0.060018
634,0.007251,0.059794
635,0.007204,0.059508
636,0.00717,0.059192
637,0.007156,0.058941
638,0.007219,0.058778
639,0.007203,0.058772
640,0.007144,0.058823
641,0.007132,0.058878
642,0.007123,0.058878
643,0.007127,0.058907
644,0.007133,0.059063
645,0.007092,0.059326
646,0.007015,0.05991
647,0.00693,0.060617
648,0.006871,0.061227
649,0.006846,0.061722
650,0.006806,0.062129
651,0.00675,0.062358
652,0.006717,0.062448
653,0.006646,0.062524
654,0.006535,0.062724
655,0.006461,0.063064
656,0.006431,0.063531
657,0.006386,0.063961
658,0.006293,0.064228
659,0.006206,0.064201
660,0.006124,0.063767
661,0.006121,0.063017
662,0.0061,0.062086
663,0.00617,0.061033
664,0.006322,0.059871
665,0.006498,0.058659
666,0.006618,0.057595
667,0.0067,0.056804
668,0.006773,0.056246
669,0.006968,0.05568
670,0.007195,0.055106
671,0.007446,0.054569
672,0.007655,0.05415
673,0.007844,0.053784
674,0.007958,0.053515
675,0.008075,0.053342
676,0.008187,0.053165
677,0.008229,0.052968
678,0.00826,0.052871
679,0.008227,0.052882
680,0.008183,0.052964
681,0.008162,0.053003
682,0.008084,0.053047
683,0.00802,0.05303
684,0.007978,0.052982
685,0.007954,0.052931
686,0.007893,0.052891
687,0.007818,0.052818
688,0.00775,0.052841
689,0.007659,0.052951
690,0.007558,0.053148
691,0.007443,0.053305
692,0.007282,0.053498
693,0.007088,0.053712
694,0.006891,0.053957
695,0.006686,0.054267
696,0.006544,0.054595
697,0.00639,0.054961
698,0.006304,0.055339
699,0.00622,0.055682
700,0.00621,0.055819
701,0.006247,0.055781
702,0.006293,0.055555
703,0.006354,0.055238
704,0.006408,0.054876
705,0.006494,0.054502
706,0.006556,0.054154
707,0.006666,0.053764
708,0.00678,0.053388
709,0.006941,0.053083
710,0.007038,0.052729
711,0.007062,0.052461
