Seq,COPx,COPy
367,-2.243039,0.760903
368,-2.238662,0.758383
369,-2.22985,0.754967
370,-2.224324,0.75333
371,-2.218302,0.75201
372,-2.213734,0.751466
373,-2.216878,0.753032
374,-2.222024,0.754965
375,-2.217726,0.753359
376,-2.214197,0.751539
377,-2.21963,0.752103
378,-2.232765,0.755175
379,-2.24902,0.75949
380,-2.260217,0.762195
381,-2.272057,0.765382
382,-2.280191,0.766887
383,-2.28488,0.766623
384,-2.286543,0.764872
385,-2.292407,0.765029
386,-2.283651,0.761188
387,-2.265278,0.754848
388,-2.247501,0.749264
389,-2.231784,0.744485
390,-2.216993,0.739838
391,-2.213364,0.739276
392,-2.21771,0.740848
393,-2.225386,0.743488
394,-2.23674,0.746654
395,-2.246301,0.74905
396,-2.261484,0.753434
397,-2.268496,0.755119
398,-2.268144,0.754983
399,-2.266898,0.754761
400,-2.262715,0.753906
401,-2.251986,0.751321
402,-2.237595,0.747359
403,-2.219404,0.741805
404,-2.203541,0.736123
405,-2.195582,0.732105
406,-2.195719,0.731861
407,-2.200514,0.7331
408,-2.209573,0.736024
409,-2.226314,0.741603
410,-2.23983,0.746452
411,-2.254658,0.751696
412,-2.261686,0.75433
413,-2.268996,0.756608
414,-2.27935,0.759815
415,-2.277823,0.759521
416,-2.268882,0.757193
417,-2.255709,0.754028
418,-2.242317,0.750944
419,-2.229546,0.748092
420,-2.218416,0.74617
421,-2.214704,0.745847
422,-2.219232,0.747426
423,-2.225052,0.749358
424,-2.238962,0.753437
425,-2.251145,0.757143
426,-2.259827,0.759713
427,-2.257201,0.759771
428,-2.252577,0.759769
429,-2.244728,0.7588
430,-2.240371,0.758811
431,-2.231619,0.757202
432,-2.228586,0.756676
433,-2.231589,0.757503
434,-2.242128,0.760221
435,-2.254424,0.763145
436,-2.256959,0.76334
437,-2.250983,0.761604
438,-2.250241,0.761908
439,-2.243942,0.759972
440,-2.237465,0.758609
441,-2.236933,0.75841
442,-2.238816,0.758771
443,-2.241117,0.758447
444,-2.239265,0.756704
445,-2.236082,0.754877
446,-2.235715,0.754441
447,-2.232583,0.753748
448,-2.226915,0.753003
449,-2.223967,0.753313
450,-2.222938,0.754287
451,-2.225173,0.755969
452,-2.23036,0.758422
453,-2.231363,0.758889
454,-2.236393,0.760469
455,-2.246108,0.763315
456,-2.254736,0.765959
457,-2.261522,0.768323
458,-2.261838,0.768961
459,-2.246802,0.76484
460,-2.224245,0.757815
461,-2.205338,0.751996
462,-2.195861,0.748129
463,-2.197162,0.747779
464,-2.204026,0.748675
465,-2.223143,0.753091
466,-2.250446,0.760442
467,-2.278887,0.767974
468,-2.296669,0.773407
469,-2.304814,0.776314
470,-2.299926,0.775365
471,-2.27919,0.769685
472,-2.257699,0.764219
473,-2.234012,0.757472
474,-2.216204,0.752795
475,-2.202844,0.748962
476,-2.199074,0.747768
477,-2.202711,0.749022
478,-2.207921,0.751498
479,-2.21359,0.754232
480,-2.221408,0.75804
481,-2.2322,0.762759
482,-2.242716,0.767464
483,-2.254071,0.771394
484,-2.267524,0.775738
485,-2.273772,0.777969
486,-2.274791,0.778184
487,-2.26137,0.774088
488,-2.238403,0.767424
489,-2.219936,0.762699
490,-2.213916,0.76115
491,-2.210016,0.760783
492,-2.213529,0.763054
493,-2.225256,0.76738
494,-2.245461,0.773523
495,-2.264117,0.778177
496,-2.276905,0.781229
497,-2.279447,0.781071
498,-2.271769,0.777613
499,-2.258786,0.773052
500,-2.241243,0.767278
501,-2.229139,0.763545
502,-2.223574,0.761836
503,-2.229583,0.762949
504,-2.2372,0.76438
505,-2.244742,0.76569
506,-2.247654,0.765417
507,-2.257632,0.767551
508,-2.264166,0.768569
509,-2.262181,0.767298
510,-2.257915,0.765511
511,-2.25279,0.763264
512,-2.247578,0.761229
513,-2.242066,0.758502
514,-2.237916,0.755939
515,-2.233658,0.753198
516,-2.237419,0.753406
517,-2.23689,0.752256
518,-2.233811,0.750992
519,-2.23281,0.75129
520,-2.225353,0.749124
521,-2.219541,0.747323
522,-2.214877,0.745675
523,-2.213578,0.745158
524,-2.219284,0.746217
525,-2.228998,0.748863
526,-2.240766,0.75215
527,-2.247082,0.754075
528,-2.254713,0.756543
529,-2.255195,0.756811
530,-2.253273,0.756446
531,-2.249045,0.755264
532,-2.249645,0.755207
533,-2.24672,0.753866
534,-2.240358,0.751758
